,Startup,Description
0,Futaa.com,"Interactive Football news website for West and East Africa.  - Futaa.com - Coined from futaa, a common local slun ..."
1,Shopsoko,"Soko is an ethical manufacturing platform, supporting right-size manufacturing from developing economies, serving leading ethical brands.  - Shopsoko - Soko means marketplace in Swahili, the ..."
2,Kopo Kopo,Kopo Kopo - we were inspired to create a world-class platform to enable small and medium businesses ...
3,TrueHost Cloud,"The Standard Cloud  - Global #Cloud services provider Cloud Servers,Web ..."
4,BuyRentKenya.com,"Established in 2012, Buyrentkenya.com has rapidly become the no.1 property portal in Kenya and the country's 12th most popular website.  - Buy Rent Kenya, It's that simple. The most compreh ..."
5,KenyaYote,Educational Platform  - Kenyayot is kenya's top educational content provid ...
6,StartupHR Toolkit,THE NEW WAY TO EXPERIENCE HR  - StartupHR Toolkit comprises ready-to-use HR templa ...
7,Kenyanz.com,Connecting Businesses to Customers Worldwide  - Kenyanz.com is one of a kind local business direct ...
8,iPay,"Ipay is an online wallet that offers services like mobile top-up, credit card bill payment, bill pay, add and withdraw money.  - iPay is an easy-to-use payments processing system ..."
9,Urban Kenyans,How it is done in Kenya  - Urban Kenyans is an online platform that informs K ...
10,Amazing Kisumu,"Amazing Kisumu is an online travel magazine focused on native marketing, advertising, and event management solutions in Kenya.  - Online marketing platform for businesses in Kisumu ..."
11,TutorKE.com,Online learning in Kenya  - Tutorke is an online learning platform which offer ...
12,Mpayer,"Mpayer is a mobile and web solution that lets businesses accept and track any form of payment, be it ..."
13,Savo Store,Savo Store is a shopping and package delivery service designed to give you direct access to products ...
14,M-Changa,M-Changa is service that allows you to manage a fundraiser right from your mobile phone.  - M-Changa is service that allows you to manage a fu ...
15,Yum,Yum Kenya is an online food ordering service based in Kenya.  - Yum.co.ke is Nairobi's premier online food orderin ...
16,eLimu,ELimu helps primary school students in Kenya learn - It engages children in the learning process by incorporating the element of play.  - The eLimu tablet is designed to engage Kenyan prim ...
17,Kwara,"The digital banking platform for SACCOs  - Kwara offers a secure, simple and affordable digit ..."
18,Uhired.me,"Redefining Recruitment. Make it social, easy and fun.  - Uhired.me aims to make recruitment process social, ..."
19,Purpink Gifts,Purpink Gifts is a start-up company that is designed to offer online gifting solutions to not only t ...
20,M-Farm,M-Farm connects smallholder African farmers with urban and export markets via SMS and a web-enabled marketplace.  - MFarm is a software solution and agribusiness comp ...
21,Muthurwa.com,Digital Marketplace where creatives meet buyers  - Muthurwa Marketplace is kenya's largest digital ma ...
22,Jisort,CloudBanking Platform for Microfinance  - Reliable & Affordable Cloud Banking Platform for S ...
23,Eneza Education,"Eneza Education is working in Kenya, using simple mobile technology, to build an educational ecosystem.  - Eneza’s mission is to spread quality educational t ..."
24,Ryanada,"We Power, they Drive  - Ryanada - a company on mission to empower the peop ..."
25,Graduate Farmer,"An online platforms that empowers the youth with information, tools and financial opportunities that ..."
26,InsureAfrika.com,"InsureAfrika.com, the first online platform to shop for and buy insurance in Kenya, is also an online agency to sell insurances.  - InsureAfrika.com is an online platform to compare ..."
27,Penda Health,"Penda Health builds and operates a chain of outpatient medical centers that offer outpatient care for patients in Kenya.  - Penda Health provides high-quality, affordable, ou ..."
28,Dellco Technologies,"Dellco Technologies - We are a Kenyan based graphic design agency, with a vision to create exceptio ..."
29,Bambanet,"Web Hosting,internet  - The fastest growing web hosting company in Kenya, ..."
30,Soko Huru,"Soko Huru is a market place that connects buyers and sellers. We ensure you, as the buyer, get diffe ..."
31,epay.co.ke,ecommerce  - A new electronic payment solution
32,Mother & Baby Shop,Kenya's #1 Online Baby Shop  - Kenya's Number 1 Online Baby Shop carrying items f ...
33,Cloudpap,"Cloud Backup, Recovery & Cloud Storage  - Cloud Backup, Recovery & Cloud Storage Solutions f ..."
34,Ma3Route,"Ma3Route is a mobile, web, and SMS platform that crowd-sources for transport data and provides users with information on traffic and more.  - Ma3Route is a mobile/web/SMS platform that helps c ..."
35,Iko,"IKO - KENYA'S ONLINE SHOPPING, ADVERTISING, DIRECTORY AND CLASSIFIEDS."
36,Kangai Technologies,"The Leading FinTech Startup For Africa, By Africa  - Kangai Technologies is a FinTech Firm Based In Nai ..."
37,Shujaa Host,"Fastest, Affordable and Reliable Webhosting  - Shujaahost provides fast, affordable and reliable ..."
38,Trending.co.ke,"Keep It Trending  - Trending stories, videos on the internet in kenya. ..."
39,Bunifu Technologies,Bunifu provides software productivity tools for .NET software coders. We empower them to create great user experiences and in less time.  - Bunifu - We provide technology based services and ...
40,Nuria,"The Honest Store - Kenya's Largest Bookstore  - Online Store: African Products, Books, Islamic Wea ..."
41,Sematime,"Tusqee Systems is an application provider with a focus on school information.  - Sematime - At Sematime, our speciality is in the p ..."
42,Afritorial,"Afritorial is an online magazine for pop culture, news, literary and cultural commentary across Africa.  - Afritorial - An Africa focused content-aggregator, ..."
43,Magazine Reel,The Best Kenyan Campus News Site  - The Best Kenyan Campus News Site. This is an Onli ...
44,CloudPesa,"Agile and dynamic mobile banking  - The most agile, dynamic and sure mobile banking pr ..."
45,Soko Text,Sokotext helps people living in slums get access to affordable food through the simple medium of SMS.  - SokoText is a smart solution with a big idea: To m ...
46,Walletally,Compare Personal Loans and Credit Card Offers  - Walletally’s sole mission is to fix this issue. We ...
47,Zetu Deals,"Founded in 2010, Zetu Kenya Limited commenced active operations in October 2010 and offered its firs ..."
48,Softkenya,Softkenya - Kenya's most comprehencive information guide.
49,Sufuria,Sufuria.com is a premier online platform where African's can share and try out new recipes.  - Sufuria - Africa's #1 online kitchen.
50,Nabaleka,We are from the Internet  - Nabaleka Digital Solutions offers to develop small ...
51,Weza Tele,"The company provides a range of financial products, including mobile loans and retail credit cards.  - Weza Tele is a leading service provider of innovat ..."
52,Southern Valley Safaris,"Southern Valley Safaris specialize in Adventure Safaris, Mountain climbing safaris, Beach Holidays, Budget Safaris, Cultural Tours  - Southern Valley Safaris - Discount African safari ..."
53,Cardplanet Solutions,CardPlanet Solutions develops and markets proprietary personal information solutions.  - Cardplanet Solutions is in the business of develop ...
54,Campus Discounts,"Businesses Advertise, Students Save  - Where students find and recommend discounts on off ..."
55,Bityarn Consult,"Bityarn has three core business units; Development, Consulting, and Training, that work together to ..."
56,Happy Wishy,"Where happiness is created  - Rent wedding dresses, evening dresses, and video g ..."
57,Kejahunt,"Kejahunt helps you find houses in an easy, convenient and credible way.  - Kejahunt - An online property listings plaform. Ke ..."
58,Techbiz,Techbiz is a dynamic company with a vision to provide excellent services and bring new global techno ...
59,The Bowtie Events,"The Bowtie Events - Event management company, defined by our highly personal and creative approach, ..."
